iter	RMSE
475	2666.972462
476	2666.655132
477	2666.2846
478	2665.850019
479	2665.685013
480	2665.564146
481	2665.299839
482	2665.158365
483	2664.993246
484	2664.863181
485	2664.620639
486	2664.582659
487	2664.407792
488	2664.277499
489	2664.228708
490	2664.037715
491	2663.916791
492	2663.82457
493	2663.33004
494	2663.113849
495	2662.942683
496	2662.72475
497	2662.479818
498	2662.303448
499	2662.210565
500	2662.148131
501	2661.931621
502	2661.839231
503	2661.692773
504	2661.266174
505	2661.080426
506	2660.968896
507	2660.612179
508	2660.530273
509	2660.469136
510	2660.383087
511	2660.077392
512	2659.967348
513	2659.81722
514	2659.555345
515	2659.381476
516	2659.223509
517	2659.14803
518	2659.021221
519	2658.884063
520	2658.777817
521	2658.647404
522	2658.611749
523	2658.152915
524	2658.092574
525	2657.86695
526	2657.624305
527	2656.906221
528	2656.663867
529	2656.525968
530	2656.45131
531	2656.227638
532	2656.115598
533	2655.855228
534	2655.578131
535	2655.525519
536	2655.222337
537	2654.981203
538	2654.679614
539	2654.4425
540	2654.431366
541	2654.189777
542	2654.061129
543	2653.734508
544	2653.473878
545	2653.336178
546	2653.201573
547	2653.005285
548	2652.799302
549	2652.608505
550	2652.363658
551	2652.248525
552	2652.118243
553	2651.821608
554	2651.768155
555	2651.481929
556	2651.367318
557	2650.952701
558	2650.826604
559	2650.638964
560	2650.568638
561	2650.207902
562	2649.947511
563	2649.878527
564	2649.743692
565	2649.529978
566	2649.257869
567	2649.246948
568	2648.719643
569	2648.593437
570	2648.329534
571	2648.101994
572	2647.571544
573	2647.426952
574	2647.108212
575	2646.965626
576	2646.581231
577	2646.503682
578	2646.288751
579	2646.22272
580	2645.836428
581	2645.743053
582	2645.576702
583	2645.32469
584	2645.061654
585	2644.896141
586	2644.553631
587	2644.259289
588	2644.140395
589	2644.011801
590	2643.931578
591	2643.73362
592	2643.487681
593	2643.134006
594	2642.994127
595	2642.938823
596	2642.866898
597	2642.767702
598	2642.639482
30404
194
598	2651.5555
