iter	Passed	Remaining
409	43013	19828
410	43109	19719
411	43216	19615
412	43320	19510
413	43444	19413
414	43546	19307
415	43657	19204
416	43772	19104
417	43877	18999
418	43978	18892
419	44080	18786
420	44189	18683
421	44301	18581
422	44402	18474
423	44509	18370
424	44611	18264
425	44714	18158
426	44813	18051
427	44925	17949
428	45042	17849
429	45156	17747
430	45254	17639
431	45334	17525
432	45445	17422
433	45577	17327
434	45686	17224
435	45787	17117
436	45888	17011
437	45982	16902
438	46088	16797
439	46201	16695
440	46302	16589
441	46400	16481
442	46505	16376
443	46616	16273
444	46711	16165
445	46811	16058
446	46899	15948
447	47004	15843
448	47107	15737
449	47206	15630
450	47325	15530
451	47427	15424
452	47528	15318
453	47632	15212
454	47748	15111
455	47857	15007
456	47975	14907
457	48086	14803
458	48183	14696
459	48278	14588
460	48376	14481
461	48483	14377
462	48584	14271
463	48693	14167
464	48810	14065
465	48912	13959
466	49017	13854
467	49116	13748
468	49221	13643
469	49319	13536
470	49448	13438
471	49561	13335
472	49669	13231
473	49776	13126
474	49883	13022
475	50001	12920
476	50105	12815
477	50202	12708
478	50299	12601
479	50406	12496
480	50512	12391
481	50616	12286
482	50724	12182
483	50827	12076
484	50944	11974
485	51065	11873
486	51180	11770
487	51281	11664
488	51372	11556
489	51480	11451
490	51585	11346
491	51689	11241
492	51794	11136
493	51900	11031
494	51993	10923
495	52101	10819
496	52205	10714
497	52303	10607
498	52407	10502
499	52503	10395
500	52614	10291
501	52720	10187
502	52830	10082
503	52930	9976
504	53040	9872
505	53136	9766
506	53263	9665
507	53370	9560
508	53481	9456
509	53585	9351
510	53690	9246
511	53794	9140
512	53902	9036
513	54022	8933
514	54134	8829
515	54241	8724
516	54354	8621
517	54473	8518
518	54586	8414
519	54710	8311
520	54849	8211
521	54971	8108
522	55072	8002
523	55165	7895
524	55260	7789
525	55358	7682
526	55471	7578
527	55593	7475
528	55701	7370
529	55792	7263
530	55900	7158
531	56008	7053
532	56110	6947
533	56204	6841
534	56327	6738
535	56410	6630
536	56516	6525
537	56612	6418
538	56703	6312
539	56809	6206
540	56903	6100
541	57012	5995
542	57121	5890
543	57240	5787
544	57350	5682
545	57450	5576
546	57552	5471
547	57660	5366
548	57767	5261
549	57885	5157
550	57984	5051
551	58082	4945
552	58196	4840
553	58301	4735
554	58399	4629
555	58508	4524
556	58636	4421
557	58734	4315
558	58820	4208
559	58930	4104
560	59022	3997
561	59120	3892
562	59240	3788
563	59375	3684
564	59482	3579
565	59584	3474
566	59686	3368
567	59802	3263
568	59907	3158
569	60021	3053
570	60129	2948
571	60230	2843
572	60334	2737
573	60438	2632
574	60531	2526
575	60632	2421
576	60740	2315
577	60855	2211
578	60957	2105
579	61064	2000
580	61164	1894
581	61269	1789
582	61371	1684
583	61459	1578
584	61572	1473
585	61673	1368
586	61775	1262
587	61870	1157
588	61963	1052
589	62049	946
590	62119	840
591	62210	735
592	62290	630
593	62368	524
594	62433	419
595	62493	314
596	62562	209
597	62613	104
598	62667	0
